City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,suez,29.9737,32.5263,20.14,45,0,4.19,EG,1681707841
84,caucaia,-3.7361,-38.6531,25.97,86,75,1.54,BR,1681707841
85,zholymbet,51.7433,71.7122,-1.54,77,100,7.05,KZ,1681707842
86,salalah,17.0151,54.0924,28.67,60,0,1.88,OM,1681707842
87,nanortalik,60.1432,-45.2371,-0.43,87,99,0.5,GL,1681707842
88,peleduy,59.6289,112.7406,-3.77,60,69,3.18,RU,1681707842
89,najran,17.4924,44.1277,20.36,45,58,2.85,SA,1681707843
90,cayenne,4.9333,-52.3333,24.02,100,75,0.51,GF,1681707843
91,mount gambier,-37.8333,140.7667,18.4,76,82,2.72,AU,1681707845
92,pemba,-12.974,40.5178,23.39,94,100,2.24,MZ,1681707845
93,saint-denis,48.9167,2.3333,6.39,84,100,3.09,FR,1681707845
94,khatanga,71.9667,102.5,-9.03,83,100,6.11,RU,1681707845
95,barrow,71.2906,-156.7887,-18.99,71,0,3.6,US,1681707845
96,kropotkin,45.4375,40.5756,6.59,43,98,10.28,RU,1681707846
97,longyearbyen,78.2186,15.6401,0.91,93,75,4.12,SJ,1681707846
98,yerbogachen,61.2767,108.0108,-5.1,69,53,4.19,RU,1681707846
99,rio grande,-32.035,-52.0986,17.23,92,99,3.28,BR,1681707847
100,yanam,16.7333,82.2167,37.46,32,82,2.74,IN,1681707847
101,lalin,42.7167,-8.1167,8.03,87,95,1.57,ES,1681707847
102,balsas,-7.5325,-46.0356,23.42,86,91,1.22,BR,1681707652
103,castro,-24.7911,-50.0119,15.76,98,79,1.82,BR,1681707848
104,garmsar,35.2182,52.3409,17.27,38,69,1.13,IR,1681707849
105,mar del plata,-38.0023,-57.5575,9.49,84,0,1.54,AR,1681707825
106,banepa,27.6298,85.5214,26.18,29,20,1.54,NP,1681707849
107,san juan,-31.5375,-68.5364,14.25,61,0,0.88,AR,1681707850
108,nemuro,43.3236,145.575,1.73,77,100,12.35,JP,1681707850
109,micheweni,-4.9667,39.8333,26.12,85,92,4.45,TZ,1681707850
110,okato,-39.2,173.8833,19.95,100,2,2.87,NZ,1681707850
111,bambous virieux,-20.3428,57.7575,28.45,89,40,0.0,MU,1681707851
112,luderitz,-26.6481,15.1594,20.18,41,9,0.86,NA,1681707851
113,hokitika,-42.7167,170.9667,16.21,76,75,3.73,NZ,1681707852
114,dingle,10.9995,122.6711,32.51,54,88,3.49,PH,1681707852
115,jibuti,11.5,42.5,25.5,66,17,7.74,DJ,1681707853
116,georgetown,5.4112,100.3354,32.96,70,20,3.6,MY,1681707811
117,rafaela,-31.2503,-61.4867,12.77,58,95,2.97,AR,1681707854
118,sivas,39.7916,37.0019,10.35,81,0,3.6,TR,1681707854
119,teseney,15.11,36.6575,28.57,50,6,4.13,ER,1681707854
120,port hedland,-20.3167,118.5667,30.03,21,7,3.6,AU,1681707699
121,konya,38.1667,32.5,7.71,47,100,3.52,TR,1681707855
122,yenagoa,4.9247,6.2642,24.71,92,100,1.44,NG,1681707855
123,porto novo,6.4965,2.6036,28.9,79,94,2.59,BJ,1681707637
124,hervey bay,-25.2986,152.8535,28.34,62,73,6.91,AU,1681707856
125,hithadhoo,-0.6,73.0833,28.81,66,24,1.0,MV,1681707856
